ID,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
TRAIN_0000,0.03839578479528427,0.03860706463456154,0.038700420409440994,0.03870256245136261,0.03820349648594856,0.03859268128871918,0.03851202130317688,0.038378797471523285,0.03868986293673515,0.03862430155277252,0.03869350254535675,0.03736076131463051,0.03869660571217537,0.03864166513085365,0.03816021978855133,0.03820626810193062,0.03831402212381363,0.03871068358421326,0.038700420409440994,0.03869875520467758,0.03816142678260803,0.038572609424591064,0.03869485482573509,0.038146764039993286,0.03869732841849327,0.038137152791023254
TRAIN_0001,0.03599373623728752,0.03635239973664284,0.036356549710035324,0.036353401839733124,0.0358390174806118,0.036340195685625076,0.03618385270237923,0.047745831310749054,0.036348406225442886,0.036297060549259186,0.03635352477431297,0.03518138825893402,0.03635312616825104,0.03632184863090515,0.04962293803691864,0.05687985196709633,0.04701204225420952,0.036355435848236084,0.03635472431778908,0.03635379672050476,0.03587925434112549,0.039662547409534454,0.03634863346815109,0.035284724086523056,0.03635615110397339,0.035869572311639786
TRAIN_0002,0.029221102595329285,0.029399346560239792,0.02943071536719799,0.029432687908411026,0.029014846310019493,0.029400762170553207,0.05839015915989876,0.029178939759731293,0.029431872069835663,0.029375938698649406,0.029431791976094246,0.2384657859802246,0.02943453937768936,0.029418734833598137,0.02907392382621765,0.028955208137631416,0.02922806888818741,0.02943478524684906,0.02943154238164425,0.02942582592368126,0.029066303744912148,0.029382454231381416,0.02941879630088806,0.02906445413827896,0.0294320248067379,0.02905936911702156
TRAIN_0003,0.03827769309282303,0.03867080807685852,0.038677990436553955,0.038676612079143524,0.03819282352924347,0.03859105706214905,0.03850574418902397,0.03839186951518059,0.0386740006506443,0.03858648240566254,0.03867391124367714,0.03745181858539581,0.03867381811141968,0.03864997997879982,0.038195058703422546,0.03813726827502251,0.03836207091808319,0.038678865879774094,0.0386742427945137,0.038676030933856964,0.038075629621744156,0.038643427193164825,0.03867870196700096,0.0382978655397892,0.03867059201002121,0.03821555897593498
TRAIN_0004,0.03486388549208641,0.03529861569404602,0.035228483378887177,0.03522723168134689,0.034786589443683624,0.03514930233359337,0.03507160022854805,0.044817645102739334,0.035224851220846176,0.03514514118432999,0.03522476553916931,0.03411167114973068,0.035224683582782745,0.03520296886563301,0.04688217118382454,0.05354806408286095,0.04580247774720192,0.035229284316301346,0.035225071012973785,0.03522669896483421,0.034679848700761795,0.03637469932436943,0.03522913530468941,0.03458293527364731,0.03522174805402756,0.07142039388418198
TRAIN_0005,0.03566408157348633,0.035860326141119,0.0359470434486866,0.03594903275370598,0.03548547253012657,0.04726506769657135,0.03577204421162605,0.03564830124378204,0.03593723848462105,0.03587634116411209,0.03594061732292175,0.03470269590616226,0.03594350069761276,0.04060450941324234,0.039047498255968094,0.03548804298043251,0.035588134080171585,0.035956572741270065,0.0359470471739769,0.03594549372792244,0.046971939504146576,0.03582832217216492,0.035941872745752335,0.03543277829885483,0.035944171249866486,0.07531184703111649
TRAIN_0006,0.03726600483059883,0.037471067160367966,0.037561677396297455,0.037563756108284,0.03707937151193619,0.03745711222290993,0.03737881779670715,0.03724951297044754,0.037551429122686386,0.03748779743909836,0.037554964423179626,0.03626143932342529,0.037557974457740784,0.0375046506524086,0.03703737258911133,0.037082064896821976,0.037186648696660995,0.037571635097265244,0.03756168112158775,0.037560056895017624,0.037038542330265045,0.03743762522935867,0.03755627200007439,0.03702431172132492,0.037558671087026596,0.06643956154584885
TRAIN_0007,0.03827672079205513,0.038675930351018906,0.03866736590862274,0.03867219388484955,0.03811511769890785,0.03858412057161331,0.0385265126824379,0.03844662383198738,0.03866695612668991,0.03860080987215042,0.038668468594551086,0.03749559447169304,0.03866647928953171,0.038640089333057404,0.038145679980516434,0.03812891244888306,0.038458533585071564,0.038672350347042084,0.03866971284151077,0.03867172449827194,0.03825521469116211,0.038535211235284805,0.038678161799907684,0.03822249919176102,0.038672130554914474,0.03818688914179802
TRAIN_0008,0.047414109110832214,0.0383152961730957,0.0383196659386158,0.03831634670495987,0.03777419775724411,0.038302432745695114,0.03813765197992325,0.037984699010849,0.03831109032034874,0.03825697302818298,0.03831648826599121,0.03708105534315109,0.038316067308187485,0.0382830984890461,0.03784456104040146,0.037742920219898224,0.03800709918141365,0.03831849992275238,0.03831774741411209,0.038316771388053894,0.0378166101872921,0.038224101066589355,0.03831132873892784,0.037845563143491745,0.03831924498081207,0.037806399166584015
TRAIN_0009,0.037886474281549454,0.03826399892568588,0.03826836124062538,0.03826504945755005,0.03772362321615219,0.038251154124736786,0.03808658942580223,0.0379338413476944,0.03825979679822922,0.03820575028657913,0.03826518729329109,0.03703140839934349,0.03826476261019707,0.04171556234359741,0.045113131403923035,0.037692390382289886,0.03795621916651726,0.03826719522476196,0.03826644644141197,0.038265470415353775,0.0377659797668457,0.038172926753759384,0.03826003894209862,0.037794895470142365,0.038267944008111954,0.03775578364729881
TRAIN_0010,0.03828977793455124,0.03867132216691971,0.03867572918534279,0.03867238014936447,0.03812519088387489,0.03865833580493927,0.03849202021956444,0.038337644189596176,0.03866707161068916,0.038612451404333115,0.038672517985105515,0.03742561116814613,0.03867209330201149,0.03863881900906563,0.03819621354341507,0.03809362277388573,0.03836026042699814,0.038674548268318176,0.03867379575967789,0.038672808557748795,0.03816799446940422,0.03857928141951561,0.03866731375455856,0.03819722309708595,0.038675304502248764,0.03843075409531593
TRAIN_0011,0.03570540249347687,0.03606119006872177,0.03606530278921127,0.03606218099594116,0.09312068670988083,0.03604907914996147,0.0358939953148365,0.03575003892183304,0.036057230085134506,0.036006294190883636,0.03606230393052101,0.03489955887198448,0.036061909049749374,0.03931405022740364,0.04251602664589882,0.03552248328924179,0.03577112406492233,0.03606420010328293,0.03606349974870682,0.0360625758767128,0.035591837018728256,0.03597536310553551,0.036057449877262115,0.035619091242551804,0.036064907908439636,0.03558222949504852
