ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC,ID
0.005708420033986388,0.011770921450986372,0.027507445985780175,0.05958518229813012,0.03438306137265302,0.002460718556113812,0.05290850485856487,0.036122444070928045,0.10442739451581569,0.03897859799091418,0.0013695282037202447,0.002188061539512844,0.08997381242875617,0.04749715576334158,0.009990461840311307,0.03905697437145058,0.028871984396106973,0.0022786149623933755,0.00726858973090622,0.011242539327408728,0.013241491864978375,0.07831363174824892,0.27358534215522207,0.0016020776982806294,0.003968288086719716,0.01569875474876959,TRAIN_0000
0.003919108800443596,0.005759342617164048,0.08580505167801496,0.00948801737007698,0.011785047217973982,0.0015822770193740733,0.042647213066470444,0.09938989654885876,0.07783162652736712,0.021203724827878422,0.0012922213743434274,0.022929452533183434,0.043481231064801104,0.027801402123539144,0.002758773064627341,0.17743586138046008,0.07825907379002774,0.0016810651995787906,0.005457831587963627,0.17264603209006507,0.00623554228866825,0.05077875443974266,0.010858845979187752,0.0016058858139885797,0.005481715821231661,0.03188500577496893,TRAIN_0001
0.0006771189315582373,0.012207068152604358,0.004311086020585766,0.01649918732384107,0.007397676140125006,0.00032057775195892715,0.016591082782286465,0.004802225485473338,0.0025419496667349484,0.0009083525249840578,0.000249594908495766,0.006098120298331295,0.003578227376328659,0.009930917708206548,0.018152096719190963,0.0011324494519330574,0.0032333451326680865,0.0001734108032256175,0.000933726174970681,0.0009970057003942895,0.8784547792120018,0.008341599016426579,0.0007660077897807444,0.00029941993721213487,0.0002694531208346372,0.0011335218698469525,TRAIN_0002
0.0006603717576613701,0.0016815128644542987,0.06129479629469417,0.023540361702618202,0.0028328361080702386,0.0008658604077548634,0.043067348812576164,0.008766616079682831,0.07627716190716254,0.0583985878740859,0.04615727606098582,0.010486443905485516,0.03276371701582711,0.01486522292348313,0.0009390990355891061,0.08402028238008352,0.02599049080827415,0.09103493721001206,0.17684487146580477,0.16666980689247607,0.007325738932818532,0.012774159661492972,0.007735109701506328,0.03270943208363884,0.007902504230124912,0.0043954538836365915,TRAIN_0003
0.005164509369482991,0.04384276809784844,0.02888652046874697,0.008262206182521676,0.009938799222005594,0.0022785794854649475,0.009820030443525167,0.11620796167801548,0.022544526419313114,0.00418372142173969,0.0013029313907906917,0.002896885963201619,0.16105576470775754,0.03643673051595387,0.03877331091092193,0.02548357009743851,0.06910746806872015,0.0021129290909523706,0.007810663728308442,0.03117528489827445,0.004096353582037993,0.2998139972029444,0.005412589032727296,0.0016233988023861322,0.003373409283781823,0.05839508993513874,TRAIN_0004
0.0012172227560656441,0.006941369175103707,0.01781547231703896,0.03313955619786011,0.01492148245048915,0.014027160402543681,0.008091465460528519,0.007797188020029209,0.015034905431348859,0.009258237542087431,0.0004390598273555859,0.0012140861780921093,0.019197184332684535,0.03298852548062381,0.01841942941056813,0.006938711646173006,0.005525629892671193,0.0015131493359916365,0.013600155527119283,0.005279199614456511,0.0622010595129252,0.379663819896998,0.005656480712633826,0.0022435707202163647,0.002188481360858893,0.31468739679753666,TRAIN_0005
7.183452456199176e-05,0.0002923323737007737,0.5445696048729604,0.0023111728667985425,0.0005319665004472804,0.00026834246489920006,0.0026386957292110144,0.0006373631107711346,0.0011998127300344317,0.0015231281099370182,0.41346176951859465,0.0030483589133910955,0.0007189274095334063,0.0004392859064668537,9.164812833167455e-05,0.0022536592747389233,0.000834150986298159,0.009509842726226743,0.0046599297212962,0.002526843190879075,0.0005416800783661097,0.0006944539405947225,0.0007256455630506915,0.0018842017512733587,0.00168747091925333,0.002877878688383312,TRAIN_0006
0.000415105006942314,0.0013807226625170786,0.03595560898461878,0.009990956938143064,0.0014432680766393645,0.0006548654254390384,0.010656148519357526,0.0040472998583406545,0.016646471380825464,0.01312841049276726,0.23450271008348011,0.005177489639331956,0.0032049905086522653,0.002029199913391899,0.001097916658831612,0.013209849066458767,0.006733605377277639,0.1404016805672947,0.09798814654343334,0.028938990966453144,0.00312578268542545,0.0030079598987742236,0.003244061354490815,0.13187881215165131,0.22929937344794876,0.001840573791513441,TRAIN_0007
0.0011778542378674092,0.004289899428617415,0.06169540723571989,0.04501008553591324,0.0055791441522585385,0.0016478133396252337,0.035929772513478134,0.01552329284415752,0.08660643429810265,0.10662697110379166,0.005783154084739621,0.02387031880290861,0.027447711302505083,0.014642571830984566,0.0012768829300306619,0.08366047477020468,0.04027230610234432,0.01840687518082508,0.15768196964068448,0.12282527070835271,0.014500661555610434,0.010086118106255794,0.07833550018662895,0.01263169740816711,0.0163581927872835,0.008133619912942694,TRAIN_0008
0.0018534723229521966,0.0038035225641962923,0.023957531932682078,0.11253180370554114,0.011391035297034823,0.001865740169583457,0.040330737885549764,0.0803163499762067,0.07027994851155199,0.09478148086198812,0.0009155569145207623,0.002009277001967575,0.24752898548850183,0.01629236342798783,0.00981652831167429,0.02681662704816548,0.0295916479494306,0.0011041454287769442,0.0085440911471994,0.009539430043016696,0.011996538395057254,0.0629252717777974,0.12252809869478656,0.0014716394964675039,0.00392676005688509,0.0038814155904782223,TRAIN_0009
